Temperature - (Celsius), Year, Statistics, Country, ISO3
12.5386, 1991, Jan Average, Chile, CHL
12.2914, 1991, Feb Average, Chile, CHL
11.1373, 1991, Mar Average, Chile, CHL
8.857, 1991, Apr Average, Chile, CHL
6.70605, 1991, May Average, Chile, CHL
4.64511, 1991, Jun Average, Chile, CHL
3.67834, 1991, Jul Average, Chile, CHL
4.05806, 1991, Aug Average, Chile, CHL
6.6008, 1991, Sep Average, Chile, CHL
7.41883, 1991, Oct Average, Chile, CHL
9.96322, 1991, Nov Average, Chile, CHL
10.2007, 1991, Dec Average, Chile, CHL
13.3536, 1992, Jan Average, Chile, CHL
11.4709, 1992, Feb Average, Chile, CHL
11.5469, 1992, Mar Average, Chile, CHL
8.61049, 1992, Apr Average, Chile, CHL
5.52874, 1992, May Average, Chile, CHL
3.8424, 1992, Jun Average, Chile, CHL
2.52941, 1992, Jul Average, Chile, CHL
5.00639, 1992, Aug Average, Chile, CHL
6.15123, 1992, Sep Average, Chile, CHL
7.75703, 1992, Oct Average, Chile, CHL
10.0407, 1992, Nov Average, Chile, CHL
11.7555, 1992, Dec Average, Chile, CHL
12.5437, 1993, Jan Average, Chile, CHL
12.5439, 1993, Feb Average, Chile, CHL
11.6593, 1993, Mar Average, Chile, CHL
8.37375, 1993, Apr Average, Chile, CHL
5.81204, 1993, May Average, Chile, CHL
4.22072, 1993, Jun Average, Chile, CHL
3.92746, 1993, Jul Average, Chile, CHL
5.56384, 1993, Aug Average, Chile, CHL
6.43839, 1993, Sep Average, Chile, CHL
8.55355, 1993, Oct Average, Chile, CHL
9.88435, 1993, Nov Average, Chile, CHL
11.6997, 1993, Dec Average, Chile, CHL
13.1871, 1994, Jan Average, Chile, CHL
11.6278, 1994, Feb Average, Chile, CHL
11.2772, 1994, Mar Average, Chile, CHL
8.52128, 1994, Apr Average, Chile, CHL
6.67252, 1994, May Average, Chile, CHL
5.23361, 1994, Jun Average, Chile, CHL
3.69367, 1994, Jul Average, Chile, CHL
5.16521, 1994, Aug Average, Chile, CHL
6.75231, 1994, Sep Average, Chile, CHL
8.11482, 1994, Oct Average, Chile, CHL
10.353, 1994, Nov Average, Chile, CHL
12.4018, 1994, Dec Average, Chile, CHL
12.3385, 1995, Jan Average, Chile, CHL
11.8478, 1995, Feb Average, Chile, CHL
10.6367, 1995, Mar Average, Chile, CHL
9.11017, 1995, Apr Average, Chile, CHL
6.80263, 1995, May Average, Chile, CHL
4.16912, 1995, Jun Average, Chile, CHL
2.62724, 1995, Jul Average, Chile, CHL
3.64301, 1995, Aug Average, Chile, CHL
6.32269, 1995, Sep Average, Chile, CHL
8.33436, 1995, Oct Average, Chile, CHL
10.4544, 1995, Nov Average, Chile, CHL
13.2743, 1995, Dec Average, Chile, CHL
11.9359, 1996, Jan Average, Chile, CHL
11.5699, 1996, Feb Average, Chile, CHL
11.2592, 1996, Mar Average, Chile, CHL
7.99297, 1996, Apr Average, Chile, CHL
7.1989, 1996, May Average, Chile, CHL
3.54486, 1996, Jun Average, Chile, CHL
4.34828, 1996, Jul Average, Chile, CHL
5.411, 1996, Aug Average, Chile, CHL
6.91179, 1996, Sep Average, Chile, CHL
8.49536, 1996, Oct Average, Chile, CHL
10.2281, 1996, Nov Average, Chile, CHL
11.6474, 1996, Dec Average, Chile, CHL
12.7446, 1997, Jan Average, Chile, CHL
11.1575, 1997, Feb Average, Chile, CHL
11.6088, 1997, Mar Average, Chile, CHL
9.48273, 1997, Apr Average, Chile, CHL
6.90652, 1997, May Average, Chile, CHL
4.84893, 1997, Jun Average, Chile, CHL
4.80792, 1997, Jul Average, Chile, CHL
5.09215, 1997, Aug Average, Chile, CHL
6.72262, 1997, Sep Average, Chile, CHL
7.99191, 1997, Oct Average, Chile, CHL
10.1829, 1997, Nov Average, Chile, CHL
11.9714, 1997, Dec Average, Chile, CHL
12.7396, 1998, Jan Average, Chile, CHL
12.7452, 1998, Feb Average, Chile, CHL
11.1204, 1998, Mar Average, Chile, CHL
9.02652, 1998, Apr Average, Chile, CHL
7.43721, 1998, May Average, Chile, CHL
5.62819, 1998, Jun Average, Chile, CHL
5.82987, 1998, Jul Average, Chile, CHL
5.45415, 1998, Aug Average, Chile, CHL
5.71679, 1998, Sep Average, Chile, CHL
8.84985, 1998, Oct Average, Chile, CHL
10.1932, 1998, Nov Average, Chile, CHL
12.1056, 1998, Dec Average, Chile, CHL
12.8157, 1999, Jan Average, Chile, CHL
12.7409, 1999, Feb Average, Chile, CHL
10.7313, 1999, Mar Average, Chile, CHL
8.12245, 1999, Apr Average, Chile, CHL
6.31238, 1999, May Average, Chile, CHL
3.63432, 1999, Jun Average, Chile, CHL
3.65039, 1999, Jul Average, Chile, CHL
5.12151, 1999, Aug Average, Chile, CHL
6.7544, 1999, Sep Average, Chile, CHL
8.70829, 1999, Oct Average, Chile, CHL
10.3294, 1999, Nov Average, Chile, CHL
11.5597, 1999, Dec Average, Chile, CHL
12.5468, 2000, Jan Average, Chile, CHL
11.5821, 2000, Feb Average, Chile, CHL
10.1331, 2000, Mar Average, Chile, CHL
8.84131, 2000, Apr Average, Chile, CHL
6.06873, 2000, May Average, Chile, CHL
4.23204, 2000, Jun Average, Chile, CHL
3.04342, 2000, Jul Average, Chile, CHL
4.71347, 2000, Aug Average, Chile, CHL
5.11566, 2000, Sep Average, Chile, CHL
8.21364, 2000, Oct Average, Chile, CHL
9.19119, 2000, Nov Average, Chile, CHL
11.2468, 2000, Dec Average, Chile, CHL
12.3213, 2001, Jan Average, Chile, CHL
12.5583, 2001, Feb Average, Chile, CHL
10.4876, 2001, Mar Average, Chile, CHL
8.20538, 2001, Apr Average, Chile, CHL
5.65842, 2001, May Average, Chile, CHL
4.54218, 2001, Jun Average, Chile, CHL
3.11327, 2001, Jul Average, Chile, CHL
5.0987, 2001, Aug Average, Chile, CHL
6.1623, 2001, Sep Average, Chile, CHL
8.7834, 2001, Oct Average, Chile, CHL
9.3059, 2001, Nov Average, Chile, CHL
12.4921, 2001, Dec Average, Chile, CHL
12.5696, 2002, Jan Average, Chile, CHL
12.5262, 2002, Feb Average, Chile, CHL
10.2428, 2002, Mar Average, Chile, CHL
8.17758, 2002, Apr Average, Chile, CHL
5.7096, 2002, May Average, Chile, CHL
2.61044, 2002, Jun Average, Chile, CHL
4.23134, 2002, Jul Average, Chile, CHL
5.02827, 2002, Aug Average, Chile, CHL
6.59307, 2002, Sep Average, Chile, CHL
7.94863, 2002, Oct Average, Chile, CHL
9.51981, 2002, Nov Average, Chile, CHL
11.7107, 2002, Dec Average, Chile, CHL
12.5883, 2003, Jan Average, Chile, CHL
12.2284, 2003, Feb Average, Chile, CHL
11.3923, 2003, Mar Average, Chile, CHL
8.19428, 2003, Apr Average, Chile, CHL
6.78527, 2003, May Average, Chile, CHL
