Temperature - (Celsius), Year, Statistics, Country, ISO3
-8.0581, 1991, Jan Average, China, CHN
-4.6373, 1991, Feb Average, China, CHN
0.59422, 1991, Mar Average, China, CHN
7.42692, 1991, Apr Average, China, CHN
13.0076, 1991, May Average, China, CHN
17.514, 1991, Jun Average, China, CHN
19.7388, 1991, Jul Average, China, CHN
18.7234, 1991, Aug Average, China, CHN
14.1251, 1991, Sep Average, China, CHN
7.38535, 1991, Oct Average, China, CHN
-0.5524, 1991, Nov Average, China, CHN
-6.3472, 1991, Dec Average, China, CHN
-7.6555, 1992, Jan Average, China, CHN
-5.3504, 1992, Feb Average, China, CHN
0.54785, 1992, Mar Average, China, CHN
8.60898, 1992, Apr Average, China, CHN
12.9692, 1992, May Average, China, CHN
16.6247, 1992, Jun Average, China, CHN
18.9943, 1992, Jul Average, China, CHN
18.1277, 1992, Aug Average, China, CHN
13.5281, 1992, Sep Average, China, CHN
6.54995, 1992, Oct Average, China, CHN
-1.0369, 1992, Nov Average, China, CHN
-5.7223, 1992, Dec Average, China, CHN
-8.9905, 1993, Jan Average, China, CHN
-3.2174, 1993, Feb Average, China, CHN
1.52899, 1993, Mar Average, China, CHN
7.67395, 1993, Apr Average, China, CHN
12.4336, 1993, May Average, China, CHN
16.9024, 1993, Jun Average, China, CHN
18.8677, 1993, Jul Average, China, CHN
17.6205, 1993, Aug Average, China, CHN
13.9852, 1993, Sep Average, China, CHN
7.01529, 1993, Oct Average, China, CHN
-0.7692, 1993, Nov Average, China, CHN
-6.3074, 1993, Dec Average, China, CHN
-7.514, 1994, Jan Average, China, CHN
-4.9267, 1994, Feb Average, China, CHN
-0.0967, 1994, Mar Average, China, CHN
8.5582, 1994, Apr Average, China, CHN
13.8932, 1994, May Average, China, CHN
17.766, 1994, Jun Average, China, CHN
20.1248, 1994, Jul Average, China, CHN
19.1956, 1994, Aug Average, China, CHN
14.0158, 1994, Sep Average, China, CHN
6.84287, 1994, Oct Average, China, CHN
1.55286, 1994, Nov Average, China, CHN
-5.6157, 1994, Dec Average, China, CHN
-8.3181, 1995, Jan Average, China, CHN
-4.6311, 1995, Feb Average, China, CHN
0.93272, 1995, Mar Average, China, CHN
7.12218, 1995, Apr Average, China, CHN
13.4293, 1995, May Average, China, CHN
17.8855, 1995, Jun Average, China, CHN
19.4021, 1995, Jul Average, China, CHN
18.4567, 1995, Aug Average, China, CHN
14.367, 1995, Sep Average, China, CHN
8.04587, 1995, Oct Average, China, CHN
0.44264, 1995, Nov Average, China, CHN
-6.1018, 1995, Dec Average, China, CHN
-8.4839, 1996, Jan Average, China, CHN
-5.4024, 1996, Feb Average, China, CHN
0.54586, 1996, Mar Average, China, CHN
7.05528, 1996, Apr Average, China, CHN
13.38, 1996, May Average, China, CHN
17.0785, 1996, Jun Average, China, CHN
19.3646, 1996, Jul Average, China, CHN
18.4174, 1996, Aug Average, China, CHN
14.1137, 1996, Sep Average, China, CHN
7.39495, 1996, Oct Average, China, CHN
-0.7368, 1996, Nov Average, China, CHN
-5.7133, 1996, Dec Average, China, CHN
-7.7041, 1997, Jan Average, China, CHN
-5.1026, 1997, Feb Average, China, CHN
2.37114, 1997, Mar Average, China, CHN
8.38909, 1997, Apr Average, China, CHN
13.8641, 1997, May Average, China, CHN
17.4897, 1997, Jun Average, China, CHN
19.9324, 1997, Jul Average, China, CHN
19.0818, 1997, Aug Average, China, CHN
13.2634, 1997, Sep Average, China, CHN
7.17267, 1997, Oct Average, China, CHN
-0.4704, 1997, Nov Average, China, CHN
-6.1681, 1997, Dec Average, China, CHN
-8.7417, 1998, Jan Average, China, CHN
-2.8155, 1998, Feb Average, China, CHN
1.281, 1998, Mar Average, China, CHN
9.98657, 1998, Apr Average, China, CHN
13.7371, 1998, May Average, China, CHN
17.7828, 1998, Jun Average, China, CHN
19.8913, 1998, Jul Average, China, CHN
18.8004, 1998, Aug Average, China, CHN
15.2702, 1998, Sep Average, China, CHN
8.86628, 1998, Oct Average, China, CHN
0.73455, 1998, Nov Average, China, CHN
-4.7471, 1998, Dec Average, China, CHN
-6.791, 1999, Jan Average, China, CHN
-2.5043, 1999, Feb Average, China, CHN
0.53794, 1999, Mar Average, China, CHN
8.9281, 1999, Apr Average, China, CHN
13.5003, 1999, May Average, China, CHN
17.759, 1999, Jun Average, China, CHN
20.0303, 1999, Jul Average, China, CHN
18.6902, 1999, Aug Average, China, CHN
14.958, 1999, Sep Average, China, CHN
7.75483, 1999, Oct Average, China, CHN
0.37074, 1999, Nov Average, China, CHN
-5.6398, 1999, Dec Average, China, CHN
-8.7503, 2000, Jan Average, China, CHN
-6.2147, 2000, Feb Average, China, CHN
1.25517, 2000, Mar Average, China, CHN
8.2631, 2000, Apr Average, China, CHN
14.4907, 2000, May Average, China, CHN
18.0989, 2000, Jun Average, China, CHN
20.656, 2000, Jul Average, China, CHN
18.7555, 2000, Aug Average, China, CHN
14.5321, 2000, Sep Average, China, CHN
7.03814, 2000, Oct Average, China, CHN
-1.4341, 2000, Nov Average, China, CHN
-5.8403, 2000, Dec Average, China, CHN
-8.1776, 2001, Jan Average, China, CHN
-4.5979, 2001, Feb Average, China, CHN
1.5345, 2001, Mar Average, China, CHN
7.97958, 2001, Apr Average, China, CHN
13.9345, 2001, May Average, China, CHN
18.0685, 2001, Jun Average, China, CHN
20.4976, 2001, Jul Average, China, CHN
18.8011, 2001, Aug Average, China, CHN
14.6146, 2001, Sep Average, China, CHN
8.45435, 2001, Oct Average, China, CHN
1.00757, 2001, Nov Average, China, CHN
-6.9559, 2001, Dec Average, China, CHN
-6.216, 2002, Jan Average, China, CHN
-2.3299, 2002, Feb Average, China, CHN
3.0384, 2002, Mar Average, China, CHN
8.58449, 2002, Apr Average, China, CHN
13.3862, 2002, May Average, China, CHN
18.0994, 2002, Jun Average, China, CHN
20.1288, 2002, Jul Average, China, CHN
18.9574, 2002, Aug Average, China, CHN
14.1613, 2002, Sep Average, China, CHN
7.1211, 2002, Oct Average, China, CHN
-0.3779, 2002, Nov Average, China, CHN
-6.6509, 2002, Dec Average, China, CHN
-7.4885, 2003, Jan Average, China, CHN
-3.6437, 2003, Feb Average, China, CHN
