Temperature - (Celsius), Year, Statistics, Country, ISO3
16.6354, 1991, Jan Average, India, IND
19.988, 1991, Feb Average, India, IND
24.1397, 1991, Mar Average, India, IND
27.3468, 1991, Apr Average, India, IND
30.196, 1991, May Average, India, IND
28.9012, 1991, Jun Average, India, IND
27.5837, 1991, Jul Average, India, IND
26.2658, 1991, Aug Average, India, IND
26.3993, 1991, Sep Average, India, IND
24.5756, 1991, Oct Average, India, IND
20.704, 1991, Nov Average, India, IND
17.6205, 1991, Dec Average, India, IND
16.8967, 1992, Jan Average, India, IND
18.4606, 1992, Feb Average, India, IND
23.9634, 1992, Mar Average, India, IND
27.6134, 1992, Apr Average, India, IND
29.4888, 1992, May Average, India, IND
29.8146, 1992, Jun Average, India, IND
27.5217, 1992, Jul Average, India, IND
26.2128, 1992, Aug Average, India, IND
25.849, 1992, Sep Average, India, IND
24.6181, 1992, Oct Average, India, IND
21.0125, 1992, Nov Average, India, IND
17.7512, 1992, Dec Average, India, IND
17.4066, 1993, Jan Average, India, IND
20.161, 1993, Feb Average, India, IND
22.7104, 1993, Mar Average, India, IND
27.3808, 1993, Apr Average, India, IND
30.2519, 1993, May Average, India, IND
29.8513, 1993, Jun Average, India, IND
27.2065, 1993, Jul Average, India, IND
26.7793, 1993, Aug Average, India, IND
26.1173, 1993, Sep Average, India, IND
25.0173, 1993, Oct Average, India, IND
21.3824, 1993, Nov Average, India, IND
17.866, 1993, Dec Average, India, IND
17.9173, 1994, Jan Average, India, IND
19.1266, 1994, Feb Average, India, IND
24.815, 1994, Mar Average, India, IND
27.0488, 1994, Apr Average, India, IND
30.5279, 1994, May Average, India, IND
29.1377, 1994, Jun Average, India, IND
26.5035, 1994, Jul Average, India, IND
26.213, 1994, Aug Average, India, IND
26.0887, 1994, Sep Average, India, IND
24.536, 1994, Oct Average, India, IND
20.9812, 1994, Nov Average, India, IND
17.6071, 1994, Dec Average, India, IND
16.0943, 1995, Jan Average, India, IND
19.6104, 1995, Feb Average, India, IND
23.2333, 1995, Mar Average, India, IND
27.2676, 1995, Apr Average, India, IND
29.9743, 1995, May Average, India, IND
30.616, 1995, Jun Average, India, IND
27.4274, 1995, Jul Average, India, IND
26.7316, 1995, Aug Average, India, IND
